"日期時間","功率<U+00A0>kW","電表數值","用電度數","功因<U+00A0>%","I_r","I_s","I_t","V_rs","V_st","V_tr","總視在功率<U+00A0>kVa","總無效功率<U+00A0>kVar"
"2016/12/01 00:00",3.98,134359.98,0.69,75,13.4,7.58,10.8,216.12,217.35,217.94,5.25,0.11
"2016/12/01 01:00",1.66,134360.67,0.66,98,7.74,7.51,0,218.2,219.19,220.25,1.68,-0.26
"2016/12/01 02:00",3.95,134361.33,0.61,75,13.2,7.46,10.68,218.07,219.09,219.58,5.23,0.11
"2016/12/01 03:00",3.95,134361.94,0.61,75,13.17,7.4,10.71,218.76,219.49,220.65,5.22,0.17
"2016/12/01 04:00",3.86,134362.55,0.58,99,7.5,15.52,10.09,219.44,219.95,220.49,3.88,-0.36
"2016/12/01 05:00",3.91,134363.13,0.57,75,12.95,7.27,10.64,219.48,220.17,220.58,5.19,0.14
"2016/12/01 06:00",1.61,134363.7,0.59,98,7.42,7.21,0,219.53,220.07,220.53,1.63,-0.26
"2016/12/01 07:00",3.93,134364.29,0.61,75,13.08,7.34,10.69,217.48,218.4,218.4,5.21,0.11
"2016/12/01 08:00",1.64,134364.9,1.48,98,7.68,7.4,0,215.41,216.4,217.78,1.66,-0.26
"2016/12/01 09:00",9,134366.38,2.7,97,14.33,31.93,28.15,215.94,216.95,218.48,9.2,0.37
"2016/12/01 10:00",11.6,134369.08,3.69,88,23.01,32.71,37.65,215.72,217.4,217.97,13.14,0.96
"2016/12/01 11:00",17.25,134372.77,3.63,80,40.67,39.96,59.23,214.6,216.86,217.45,21.55,0.87
"2016/12/01 12:00",18.91,134376.4,4.45,76,48.55,39.54,65.43,214.58,217.26,217.15,24.62,0.74
"2016/12/01 13:00",21.29,134380.85,4.23,95,44.83,73.04,61.28,214.35,216.24,216.57,22.23,-0.46
"2016/12/01 14:00",18.83,134385.08,4.51,76,48.95,39.35,64.61,214.47,216.71,217.66,24.47,0.43
"2016/12/01 15:00",20.87,134389.59,3.44,89,55.03,59.61,54.12,212.67,214.78,214.61,23.3,1.58
"2016/12/01 16:00",15.14,134393.03,2.83,91,22.74,49.83,53.87,213.54,215.38,214.91,16.47,1.5
"2016/12/01 17:00",12.75,134395.86,1.97,90,22.8,39.11,43.05,213.98,215.69,215.94,14.15,1.43
"2016/12/01 18:00",5.04,134397.83,1.5,94,12.7,15.52,12.14,214.64,216.16,217.09,5.36,0.07
"2016/12/01 19:00",6.88,134399.33,1.36,97,1.24,32.5,31.23,216.66,217.55,217.76,7.05,1.08
"2016/12/01 20:00",6.27,134400.69,0.86,98,1.19,29.62,28.39,214.29,215.28,215.53,6.37,0.51
"2016/12/01 21:00",6.9,134401.55,0.68,85,9.56,22.31,27.86,215.03,216.31,216.74,8.1,1.24
"2016/12/01 22:00",3.08,134402.23,0.31,96,1.22,14.41,13.11,219.31,220.37,220.69,3.18,0.28
"2016/12/01 23:00",0.22,134402.54,0.27,76,1.19,1.68,0,218.51,219.64,220.78,0.29,-0.19
